NIM,Nama,Tahun,Arsitektur dan Organisasi Komputer,Aljabar Linier dan Matriks,Pancasila,Etika Profesi,Pemrograman Dasar,Bahasa Indonesia,Basis Data,Jaringan Komputer,Agama Islam,Matematika Diskrit,Kecerdasan Buatan,Sains Komputasi,Struktur Data,Statistika,Pemrograman Berbasis Platform,Sistem Operasi,Kewarganegaraan,Pemrograman Berorientasi Obyek,Interaksi Manusia dan Komputer,Matematika,Total_SKS,IPK,Minat_Jurusan
220001,Iwan Lestari,2022,3.3,3.3,1.0,2.3,2.7,2.7,1.0,1.0,3.0,3.7,3.7,3.7,2.0,3.7,2.3,3.7,2.0,2.0,1.0,3.0,60,2.55,AI Engineering
220002,Euis Hidayat,2022,3.0,2.0,2.3,3.3,2.0,2.3,3.7,4.0,3.3,1.0,3.0,4.0,2.0,3.3,2.7,2.3,2.7,2.3,3.3,4.0,60,2.82,AI Engineering
220003,Euis Chaniago,2022,4.0,3.7,1.0,2.7,3.3,2.0,4.0,2.7,4.0,2.7,2.3,3.7,3.0,2.0,2.3,3.7,3.0,4.0,2.0,2.0,60,2.91,RPL
220004,Tania Pohan,2022,4.0,2.0,3.7,2.7,3.3,3.3,4.0,3.0,3.3,1.0,3.3,3.7,3.3,3.3,1.0,3.3,2.0,3.0,3.3,3.0,60,2.97,AI Engineering
220005,Iwan Al-Faris,2022,1.0,2.7,2.3,4.0,3.7,2.7,3.7,4.0,3.7,3.7,3.0,1.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,3.3,60,2.64,Cyber Security
220006,Aris Fitriani,2022,3.3,2.0,2.0,4.0,2.0,1.0,4.0,4.0,3.3,4.0,3.7,2.3,1.0,2.7,1.0,3.7,4.0,3.7,1.0,3.0,60,2.79,Cyber Security
220007,Rizky Ramadhan,2022,3.3,1.0,3.3,3.3,3.0,2.3,3.3,3.0,3.7,1.0,3.7,3.3,3.0,4.0,3.7,3.3,3.0,2.7,2.7,3.7,60,3.02,AI Engineering
220008,Zaki Lubis,2022,4.0,2.0,2.0,4.0,3.0,2.0,3.3,1.0,3.3,2.3,3.0,4.0,4.0,2.0,2.0,3.3,3.7,3.7,2.0,1.0,60,2.78,RPL
220009,Vina Aminah,2022,1.0,2.7,3.7,3.7,2.3,1.0,3.7,3.3,2.3,2.7,2.7,4.0,2.0,2.7,2.3,4.0,3.7,3.7,2.3,3.0,60,2.84,Cyber Security
220010,Joko Hardi,2022,1.0,1.0,2.0,4.0,4.0,3.7,4.0,1.0,2.0,2.7,3.7,2.3,4.0,3.3,2.3,4.0,2.7,3.3,1.0,1.0,60,2.65,RPL
220011,Rosa Sitepu,2022,1.0,3.3,2.0,2.7,3.0,3.0,3.3,2.3,3.3,3.3,4.0,3.7,1.0,3.0,1.0,2.0,4.0,3.3,3.0,3.3,60,2.77,AI Engineering
