nama,tahun_data,matematika,pemrograman_dasar,basis_data,jaringan_komputer,kecerdasan_buatan,struktur_data,statistika,sistem_operasi,pbo,minat_jurusan
Iwan Lestari,2022,3.0,2.7,1.0,1.0,3.7,2.0,3.7,3.7,2.0,AI Engineering
Euis Hidayat,2022,4.0,2.0,3.7,4.0,3.0,2.0,3.3,2.3,2.3,AI Engineering
Euis Chaniago,2022,2.0,3.3,4.0,2.7,2.3,3.0,2.0,3.7,4.0,RPL
Tania Pohan,2022,3.0,3.3,4.0,3.0,3.3,3.3,3.3,3.3,3.0,AI Engineering
Iwan Al-Faris,2022,3.3,3.7,3.7,4.0,3.0,1.0,2.0,4.0,4.0,Cyber Security
Aris Fitriani,2022,3.0,2.0,4.0,4.0,3.7,1.0,2.7,3.7,3.7,Cyber Security
Rizky Ramadhan,2022,3.7,3.0,3.3,3.0,3.7,3.0,4.0,3.3,2.7,AI Engineering
Zaki Lubis,2022,1.0,3.0,3.3,1.0,3.0,4.0,2.0,3.3,3.7,RPL
Vina Aminah,2022,3.0,2.3,3.7,3.3,2.7,2.0,2.7,4.0,3.7,Cyber Security
Joko Hardi,2022,1.0,4.0,4.0,1.0,3.7,4.0,3.3,4.0,3.3,RPL
Rosa Sitepu,2022,3.3,3.0,3.3,2.3,4.0,1.0,3.0,2.0,3.3,AI Engineering
Iwan Ramadhan,2022,3.0,2.3,2.3,3.7,2.3,2.0,2.7,4.0,1.0,Cyber Security
Doni Rahayu,2022,2.7,3.3,3.0,2.3,2.3,3.0,3.3,3.7,3.3,RPL
Dedi Zulkarnain,2022,4.0,1.0,4.0,2.0,3.7,2.3,3.3,4.0,2.3,AI Engineering
Putu Lestari,2022,3.0,4.0,3.0,1.0,2.3,4.0,2.0,2.3,4.0,RPL
Indah Harahap,2022,3.3,2.3,3.7,2.0,3.7,1.0,3.0,3.7,2.0,AI Engineering
Laila Mahendra,2022,3.7,2.0,2.3,3.7,4.0,4.0,3.3,3.3,3.3,AI Engineering
Iwan Barus,2022,3.7,2.0,2.7,3.3,3.3,3.0,3.0,3.3,2.0,AI Engineering
Andi Susanto,2022,3.3,3.7,4.0,3.0,3.7,4.0,3.3,2.0,3.3,RPL
Citra Saputra,2022,2.7,3.7,2.0,4.0,2.0,4.0,4.0,4.0,4.0,Cyber Security
Citra Ginting,2022,4.0,1.0,2.3,3.7,2.7,3.3,1.0,3.0,1.0,Cyber Security
Vina Setiawan,2022,2.0,4.0,1.0,4.0,1.0,1.0,3.0,3.0,3.3,Cyber Security
